Company,Role,Type,City,Region,Visa,Salary (est.),Careers / Apply URL,Known Contact,Find Recruiter (LinkedIn search),Notes,Status,Date Reached Out,Recruiter Name,Response,Next Step,Link Status,Last Verified
Monzo,Group PM / Product Manager,Product,"London, UK",London,Sponsors visa,£115k–£140k + equity,https://monzo.com/careers/,,https://www.linkedin.com/search/results/people/?keywords=Monzo%20product%20recruiter,Explicitly states 'We can sponsor visas' + relocation help on PM listings. UK's 7th largest bank.,,,,,,ok,2026-08-26
Revolut,Product Manager / Product Owner,Product,"London, UK",London,Sponsors visa,£70k–£120k+,https://www.revolut.com/careers/,,https://www.linkedin.com/search/results/people/?keywords=Revolut%20product%20recruiter,"One of UK's largest fintechs; strong sponsor track record. High bar, fast process.",,,,,,ok,2026-08-26
Wise,Product Manager,Product,"London, UK",London,Sponsors visa,£80k–£130k,https://www.wise.jobs/,,https://www.linkedin.com/search/results/people/?keywords=Wise%20product%20recruiter,London-HQ fintech with established Skilled Worker sponsorship.,,,,,,ok,2026-08-26
Google (London),Product Manager,Product,London (King's Cross),London,Sponsors visa,£110k–£160k+,https://www.google.com/about/careers/applications/,,https://www.linkedin.com/search/results/people/?keywords=Google%20product%20recruiter,Major London PM hub; reliable sponsor. Internal Uber→Google moves are common.,,,,,,ok,2026-08-26
Stripe,Product Manager,Product,London / Dublin,London,Sponsors visa,£100k–£150k+,https://stripe.com/jobs,,https://www.linkedin.com/search/results/people/?keywords=Stripe%20product%20recruiter,Infra/payments PM roles; technical JDs help visa case. Also Dublin office.,,,,,,ok,2026-08-26
Checkout.com,Product Manager,Product,"London, UK",London,Likely / check,£90k–£130k,https://www.checkout.com/careers,,https://www.linkedin.com/search/results/people/?keywords=Checkout.com%20product%20recruiter,London payments scaleup; confirm sponsorship per role.,,,,,,ok,2026-08-26
Deliveroo,Product Manager / Ops Strategy,Ops,"London, UK",London,Likely / check,£75k–£120k,https://careers.deliveroo.co.uk/,,https://www.linkedin.com/search/results/people/?keywords=Deliveroo%20operations%20recruiter,Marketplace/ops DNA — excellent fit for Uber background. Strategy & Planning + PM roles.,,,,,,ok,2026-08-26
GoCardless,Product Manager,Product,"London, UK",London,Likely / check,£85k–£125k,https://gocardless.com/careers/,,https://www.linkedin.com/search/results/people/?keywords=GoCardless%20product%20recruiter,London fintech; check sponsorship on listing.,,,,,,ok,2026-08-26
Bumble,Product Manager,Product,"London, UK",London,Likely / check,£90k–£130k,https://team.bumble.com/,,https://www.linkedin.com/search/results/people/?keywords=Bumble%20product%20recruiter,Consumer product org in London.,,,,,,ok,2026-08-26
On (On Running),Product Manager,Product,"Zurich, Switzerland",Europe,Likely / check,CHF 120k–170k,https://www.on.com/en/careers,,https://www.linkedin.com/search/results/people/?keywords=On%20product%20recruiter,"Scenic Zurich HQ; global brand, relocates international talent. Confirm sponsorship.",,,,,,ok,2026-08-26
Proton,Product Manager,Product,"Geneva, Switzerland",Europe,Likely / check,CHF 110k–160k,https://proton.me/careers,,https://www.linkedin.com/search/results/people/?keywords=Proton%20product%20recruiter,Privacy-tech in scenic Geneva. Mission-driven; international team.,,,,,,ok,2026-08-26
Scandit,Product Manager,Product,"Zurich, Switzerland",Europe,Likely / check,CHF 120k–160k,https://scandit.com/careers/,,https://www.linkedin.com/search/results/people/?keywords=Scandit%20product%20recruiter,"Computer-vision scaleup, Zurich. Relocates talent for senior roles.",,,,,,ok,2026-08-26
Google (Zurich),Product Manager,Product,"Zurich, Switzerland",Europe,Sponsors visa,CHF 140k–200k+,https://www.google.com/about/careers/applications/,,https://www.linkedin.com/search/results/people/?keywords=Google%20product%20recruiter,Google's largest eng hub outside US; scenic + reliable sponsor.,,,,,,ok,2026-08-26
